Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style,ai reason,ai status,ai result,human reason,human status,human result
"Reviewed in the United States on March 6, 2017",tad bednarz,yes,yes,No silt or sand.,"The net itself is great and works well, however, as a sand and silt net it's not. I used it this weekend and none of the sand or silt was removed. The holes in the netting are too large to capture and hold silt or sand.  Nice try but back to the vacuum.",3,-,-,https://www.amazon.com/gp/customer-reviews/R2BUANWIP9GDHR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,The review violates guideline 1 by discussing the product condition and effectiveness in removing sand and silt. It also violates guideline 4 by repeating the same information multiple times.,Violation,yes,"Maybe, but don't try to remove",,DO NOT REMOVE
"Reviewed in the United States on June 26, 2020",Charles Zinsmeyer,yes,yes,Lifetime Guarantee a XXXX joke!,"ProTuff doesn't answer on calls/emails about lifetime guarantee!!! Amazon NOT helpful at all either. My skimmer has holes in the netting. ProTuff states Lifetime Guarantee no questions asked. I know how to use a pool skimmer. It never stayed in the water or in the sun. Now the net has holes in it. And, I can't get any help out of anyone at ProTuff or Amazon.",1,-,-,https://www.amazon.com/gp/customer-reviews/RC84TR0ZQ05SR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"This review potentially violates several guidelines:
1. Seller, Order, or Shipping Feedback: The review discusses issues with the seller, ProTuff, and their customer service.
2. Private Information: The review mentions personal experiences with contacting ProTuff and Amazon, which can be considered private information.",,maybe,"Maybe, but don't try to remove",,DO NOT REMOVE
"Reviewed in the United States on July 3, 2019",michael turcotte,yes,yes,Grrrrrrr,Bought the guaranteed for life pool rake. Registered it. Had to work to do it. Got a discount on next order... bought a silt rake for over 60 bucks. No discount. Have to jump thru hoops to prove i ordered the first rake. Not happy,1,-,-,https://www.amazon.com/gp/customer-reviews/R3ST657WII3F6W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review discusses seller performance and customer service, ordering issues, and discounts, which are topics that should not be included in a review according to Amazon's guidelines.",Potentially in Violation,maybe,Not in violation,,
"Reviewed in the United States on July 1, 2019",wewildwewild,yes,yes,Lasted 1 year,Maybe that's all you can get now is a year. I have 2 holes that have appeared.,1,https://images-na.ssl-images-amazon.com/images/I/71JR6Suoo0L.jpg,-,https://www.amazon.com/gp/customer-reviews/R1WZHXIAD7V14C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,,,,Not in violation,,
"Reviewed in the United States on June 13, 2019",Amazon Customer,yes,yes,fell apart less than ten uses,the plastic part that slides into the poll fell apart with less than ten uses.,1,-,-,https://www.amazon.com/gp/customer-reviews/R206OB8AL2UXQ3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,This review potentially violates guideline 1 by discussing the product condition and damage caused during shipping.,Violation,maybe,Maybe in violation for directing to a different store with pricing,,
"Reviewed in the United States on March 27, 2019",Allan,yes,yes,Doesn't look heavy duty - had to return,"The net had a slight run where it attached to the black plastic part.  Not a big a deal, but then I took a closer look at the one star reviews and i have to agree that the net is too stiff and it looks like it could rip easily. Returned this and bought one from my local store Leslie's pool supply.  The replacement was a few dollars cheaper ($39.99) and it had a release button mechanism making it much easier to put on the pole without pinching your fingers",2,-,-,https://www.amazon.com/gp/customer-reviews/R2V2CNX74PS2TC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review potentially violates guideline 1 by discussing ordering issues, returns, and refunds, as well as guidelines 2 and 9 by mentioning the price and availability at a local store",Violation,,Not in violation,,
"Reviewed in the United States on July 27, 2018",HeartboyHeartboy,yes,yes,Has two holes. Let’s see if company sends new one,There are two holes in this. I purchased this only two months ago. Another net I have is on its second year and doing well.,2,https://images-na.ssl-images-amazon.com/images/I/71rCQHV7xXL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2WN4TQWC8VP9S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"This review violates Amazon's guideline on Seller, Order, or Shipping Feedback. It discusses the seller and their potential response to the issue with the product.",Violation,yes,Not in violation,,
"Reviewed in the United States on January 9, 2020",Honor & Integrity,yes,yes,Looks nice but very disappointing,I was excited when I saw this net but when it was delivered and I tried it in a pool I was disappointed it's got a poor design it doesn't handle material on the bottom very well and it just doesn't seem to flow through the water very well not at all happy used it one day and we'll never use it again,1,-,-,https://www.amazon.com/gp/customer-reviews/R3BGWSIL05PHN1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review potentially violates Amazon's guideline on Seller, Order, or Shipping Feedback. It discusses the experience with the delivery and performance of the product, which goes beyond focusing on the product itself.",Violation,yes,Not in violation,,
"Reviewed in the United States on May 16, 2020",Yoerlys MachadoYoerlys Machado,yes,yes,First time and last one!!,"The worse thing I've ever bought. First, it arrived 10 days late, and second, I have used it lite three times and it's already broke! Please, do not buy this item ever!! I won't waste my time registering for the guarantee, it's a waste of money!",1,"https://images-na.ssl-images-amazon.com/images/I/61IBYH9QnhL.jpg , https://images-na.ssl-images-amazon.com/images/I/61Xg+lTY9ZL.jpg , https://images-na.ssl-images-amazon.com/images/I/61bNetmpAyL.jpg",-,https://www.amazon.com/gp/customer-reviews/R10IIUJA44ZP53/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,,,,Not in violation,,
"Reviewed in the United States on September 9, 2018",Harry,yes,yes,One Star,Netting keeps coming out of the red fastner.,1,-,-,https://www.amazon.com/gp/customer-reviews/R10R6CG21CK5YN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,This review potentially violates Amazon's guidelines by discussing the product condition and damage caused during shipping.,In Violation,maybe,Not in violation,,
