Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on July 14, 2020",Erin Elizabeth HerbertErin Elizabeth Herbert,yes,yes,Arrived used with poop stains,The diaper arrived used and was covered in poop stains. (See pics) Nothing could have been more disgusting!! I am assuming someone returned it after using it and the company simply did not check the item and then shipped it to us as if it was brand new. These were not small stains either. I was extremely grossed out. Thank god I saw the stains and didn’t put it on my baby! I will be returning this ASAP and I sure hope they check it out when they get it back but I wouldn’t be surprised if they just ship it to some other unsuspecting parent.,1,"https://images-na.ssl-images-amazon.com/images/I/718M53+qeBL.jpg , https://images-na.ssl-images-amazon.com/images/I/815PaxN37CL.jpg",-0,https://www.amazon.com/gp/customer-reviews/R1Z2OJ4OISLYHH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on September 20, 2018",Etty P. Carcamo,yes,yes,Perhaps I didn't use it correctly...,"I've only used it about 3 times. The first the babe got in the pool right away. On the second occasion I dressed him up with the swim diaper and his rash guard but I stayed on my bed for time waiting for my friend to be ready when I suddenly felt he was wet and that the pee had come out. I'm not sure if it was too loose and that is why it leaked so I will keep trying it and see if that was the case. The third time I got in the water right after so I experienced no problem. It is very well made, loved the colors and how it is adjustable so once I continue to use it I will write an update to see if it was my mistake or it didn't really work...",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R349RTI4XXHH0N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on September 22, 2018",Lugarda Parra,yes,yes,Not waterproof,"We put this diaper on our baby under a bodysuit and by the time we walked to the beach he was completely wet from his pee.  I can imagine that poop might not get out, but it doesn't work if he's wet before getting in the water and his suit is full of pee.",1,-0,-0,https://www.amazon.com/gp/customer-reviews/R2XBEVQAS29KBN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on May 25, 2020",Elaine,yes,yes,"Too tight, did not hold poop, caused a rash, not easy to clean","Used this for memorial day weekend at a lake with a beach. My son is 26 lbs and this was incredibly tight and odd fitting at the thighs. He didn't seem to mind but there would be NO WAY we would get any use out of it for more than a few months. I chocked it up to being tight so it would hold poop.Sadly it didn't even do that well. My son pooped and it seeped right out of the diaper (and all over my poor husband that was holding him at the time).Lastly, it touts that it prevents diaper rash. This gave my son the worst diaper rash of his whole life. And we did change him right away after he pooped too.It was also impossible to clean at the elastic leg seams. I had to run this through the wash three times using numerous stain treatments and the poop stain and smell held on. I'm going to soak it in vinegar next.I so wanted to like this, but I don't think I will ever use it again. So sad, $17 wasted.",1,-0,-0,https://www.amazon.com/gp/customer-reviews/RY3IXTKR1294/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0791W8S2W,Color: Sharks
"Reviewed in the United States on March 17, 2017",Melissa P,yes,yes,Wish they were accurate with sizing.,"I am very disapointed with how small it is. My son is almost 17months and weighs aporximately 25 pounds and it is so snug on him that i feel like it leave red marks if he wore for any length of time. They should not advertise it to fit older kids, because it clearly doesn't. I would guess it's more for around the six month mark. Other than that i would have been happy with product.",2,-0,-0,https://www.amazon.com/gp/customer-reviews/R32G9AJG9YMBQM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01KW1L8HK,Color: Dark Green
"Reviewed in the United States on November 20, 2018",cameron J.,yes,yes,POOP everywhere,"I don't know why people have such good reviews here... my kids pooped once and it was a disaster. These things do not hold poop in. It was snugly on our baby and it leaked everywhere. I also should note that I noticed her face and knew she was trying to poop, so I pulled her out of the water before she really did some damage. Mostly it got on us (because the diaper sucks) but what little she did get out before I pulled her out of the pool was everywhere.  It was so traumatic. Lastly, I've washer the diaper now 3x and it still smells from the ""incident""DO NOT BUY. Save yourself. They are totally cute, but totally NOT worth it. Go buy the little swimmers real diapers and save yourself",1,-0,-0,https://www.amazon.com/gp/customer-reviews/R1R0WDCBZ06KE9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B079226K35,Color: Flamingos
"Reviewed in the United States on November 28, 2017",Simplicity,yes,yes,"I purchased this because of all the wonderful reviews, however it just didn’t work for my ...","I purchased this because of all the wonderful reviews, however it just didn’t work for my kiddo, even using it on the largest size, it was still super tight on the legs, and I don’t think my son is that chunky. Went with a different brand, better fit and better price. Was kinda of disappointing with this one and I think it’s a little overpriced as well.",1,-0,-0,https://www.amazon.com/gp/customer-reviews/R2V0HLDBCD6FJT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on May 16, 2020",Karli J. Risk,yes,yes,Not for chunky babies,"I chose this diaper because it is adjustable. My son is 10 months and 21 pounds. I put it on the largest snaps and it is very right around his waist and legs, I can’t see him being able to wear it for much longer. It’s done the job so far The two times he’s worn it but disappointed he’ll grow out of it so soon. It also smells horrid when he pees in it. Doesn’t even smell like pee I don’t know how to explain it.  It smells like it even after washing but then once it’s dried it smells ok, so strange",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R51UBUP1AR2Z6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on July 31, 2017",Abot,yes,yes,One Star,Too tights on the thighs that left red marks on my baby's.,1,-0,-0,https://www.amazon.com/gp/customer-reviews/R2WB56WLXLGH0S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on February 10, 2018",MtnmamaNM,yes,yes,"Cute, but not for chunky babies","Unfortunately had to return- it’s very cute and seems well made, but did not fit around my son’s thighs, even at the largest setting! If you go to their website to read the fit instructions it actually says that it may not work for chunkier babies... wish I had known!  My son is 7months and around 20lbs (40th percentile for length and 75th for weight). Just FYI before you purchase... Would work well for skinnier babies. :)",3,-0,-0,https://www.amazon.com/gp/customer-reviews/RTENMU426KBNG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on July 20, 2018",James,yes,yes,Expensive and waste of money,"My daughter had this on for 5 minutes while I was getting my bathing suit on and peed and it pored right out. Would have been very embrassing if I was on my way to the pool and her pee was pouring down my leg and all over as it was in the house. Expensive and waste of money! Do not buy, doesn’t absorb anything!,",1,-0,-0,https://www.amazon.com/gp/customer-reviews/R20MME3ML42PR4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on October 16, 2017",J D Ward,yes,yes,Cute pattern but elastic wore out too soon,"I have mixed feelings about this swim diaper. First, the positives. This print is super cute and I loved how adjustable it is. In theory, it would fit our baby for several years. Unfortunately, after only about 6 months of use with him wearing it about 1-2 times a week and only rinsing and air drying, the swim diaper is shot. The elastic is loose around all the edges to the extent that it is no longer usable. I am highly disappointed as I was hoping to get several years of use out of this instead of just a few months. I had been thinking about buying another pattern but now I'll probably look elsewhere.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R2ME2RQWO6BXMD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
