Date,Author,Verified,Helpful,Title,Body,gpt_status,gpt_reason,BEN ANALYSIS,PAUL ANALYSIS,PATRICK ANALYSIS,DREW ANALYSIS,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on November 21, 2017",tamu jacktamu jack,yes,yes,Developed mold,"I thought i did everything right. The model came out right but it started to develop mold. I’m not sure why this happened, but yes it did. Ok, so i did my second model two weeks later, and yes AGAIN, the mold started to appear... DO NOT BUY THIS PRODUCT!!!",Not in violation,No violation of Amazon guidelines,,Not in Violation,,,1,https://images-na.ssl-images-amazon.com/images/I/71JTwKODGBL.jpg,-,https://www.amazon.com/gp/customer-reviews/R146IAWHKMLEGH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on October 14, 2017",Marissa KnutzenMarissa Knutzen,yes,yes,Mold spots showed up a few days later.,"Bought this as a gift for my mothers 60th birthday to have her grandkids make a mold for her. We made the mold last Saturday and 2 days ago red spots started showing up all over the stone. There is black mold showing up along the bottom edge as well. The instructions say it can take 7 to 10 days to completely dry so we had it out in a well ventilated area drying. I can't think of a vakid reason why the spots are showing up when we followed the directions. Really disappointed with this product, especially for the price.",Not in violation,No violation of Amazon guidelines,,Not in Violation,,,1,"https://images-na.ssl-images-amazon.com/images/I/71-lM-nt1dL.jpg , https://images-na.ssl-images-amazon.com/images/I/71ph-oZTuGL.jpg",-,https://www.amazon.com/gp/customer-reviews/R1DG5Y0S0N1JOL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01NA77CNO,Size: XL Family Casting Kit (6 Hands)
"Reviewed in the United States on January 12, 2018",Bernard,yes,yes,Company ask if things went ok. The stuff never ...,Company ask if things went ok. The stuff never setup and ended up in the trash. They ask if we wanted more to try again but they never sent it.,Not in violation,No violation of Amazon guidelines,,Possibly; deals with customer service,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R2CDIFRKTOJL7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on February 21, 2019",Sarah M.Sarah M.,yes,yes,Not enough ingredients provided to cast two hands,"I bought this item for my husband for valentines day and decided to cast the mold today. As you can see in the picture there was definitely not enough stone mix to fill out hands together. I am rather disappointed that I purchased this ""large"" hand molding kit only to find out that the amount of stone mix provided was much less than what was needed to do the entire mold. The instructions make it seem as though there will be plenty of mix to not only fill the mold but to also repair it once you pull it out. There was not enough to do either and I couldn't be more disappointed in this product.",Not in violation,No violation of Amazon guidelines,,Not in Violation,,,1,https://images-na.ssl-images-amazon.com/images/I/71bE5PMZh7L.jpg,-,https://www.amazon.com/gp/customer-reviews/RUY0PSRII49O8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on January 7, 2018",Kathleen E. Sendek,yes,yes,"used a thermometer to get the water to the recommended temperature, then started the casting procedure","We read the directions included several times, viewed the online videos--several times, had everything set up in advance, used a thermometer to get the water to the recommended temperature, then started the casting procedure.  The mixture was EXTREMELY lumpy and after a minute it was too hard set (and still full of large clumps) to use.  Had to throw it away.  Now I'm out $45. SAD.",Not in violation,No violation of Amazon guidelines,,Not in Violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R3MO8X956OFURU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on December 16, 2019",Hlove,yes,yes,Set to early and couldn't get to step two,"I bought the Luna Bean hand kit off of Amazon for my anniversary. We just tried the kit tonight and before attempting, we watched two videos, read the instructions twice. The mixture seemed to have set while I was mixing it. We added half the bag per the video instructions, mixed and then the other half of the bag. It didn't even stay pink for a minute. By the time we got our hands in the mixture about 1-2 mins after mixing,  it was already set and we could barley get out hands in it. Needless to say, I don't know if this was a bad batch or what, but we followed all instructions and it did not work out. Disappointed in this product as it was an anniversary gift and we were very excited about this.",Not in violation,No violation of Amazon guidelines,,not in Violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/RBHWRUUYJBDFK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on June 23, 2019",SH,yes,yes,"Garbage, don’t waste your money","I was so excited to use this for my kids hands, they are older and can be still with no issues. The molding part was quite simple, but the plaster dried completely before I was even done stirring. It broke my spatula in half because it became solid so fast. I had only been stirring for 1 minute and it still was not mixed all the way. Now I have a bowl full of cement and not a keepsake of my kids hands. Very disappointing and so much wasted money. I purchased this kit because of all the good reviews but I don’t see how any can be true. I’m an artist so I’m not new to using such materials, but this was just garbage.",Not in violation,No violation of Amazon guidelines,,not in Violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R3D196VHKTDZV2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on January 19, 2019",M. D.,yes,yes,Didn't work,"Quite disappointed with this. We do a hand mold every year with the kids but I thought we would give this brand a try. We read all the directions before starting. The mold part went well and everything turned out beautiful. When we started mixing the next part, we knew something was wrong as soon as we started. The powder turned hard almost as soon as touching the water. We tried mixing it but it just became more hard clay lumps with water around it. Even tried using our hands to mix but just kept forming hard lumps of clay before becoming brittle and breaking apart.",Not in violation,No violation of Amazon guidelines,,not in Violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R1NDHXKSYBBN4T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01NA77CNO,Size: XL Family Casting Kit (6 Hands)
"Reviewed in the United States on January 21, 2020",heather,yes,yes,Defect??,So I didnt get past step 1..idk if I just got a defect item or what but before I tried this I read the manual 5 times and watched a lot of youtube videos...the first step powder..after mixing it with water (it never turned pink) it was white the whole time and after stiring for about 60 to combine it went lumpy and hard in like 3 seconds..ended up not being able to be used to had to trash it,Not in violation,No violation of Amazon guidelines,,not in Violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R2DGV1953HPGB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on October 18, 2021",Nikita JohnsonNikita Johnson,yes,yes,DO NOT USE FOR ANIMAL PAWS!,"Despite the reviews and answered customer questions saying that this is okay to use on pet’s paws. I WOULD STRONGLY NOT DISSUADE ONE FROM DOING THAT. This was meant to be a gift to my father in law—a cast of his favorite dog’s paw (who is extremely old and near the end of life). Even after shaving his paw as short as it could go it was still a nightmare. I spent two hours trying to get all of the Alginate molding off his poor paw. The whole thing was a nightmare. It’s still probably a great product for the intended hand mold. But after reading the reviews but really the answered questions, I felt good about it. I’m extremely lucky my in law’s dog didn’t get hurt during the removal process, particularly that of removing his paw from the bucket. Do not use on animals.",Not in violation,No violation of Amazon guidelines,,not in Violation,,,1,"https://m.media-amazon.com/images/I/811V7HHDE3L.jpg , https://m.media-amazon.com/images/I/813hKwerkrL.jpg",-,https://www.amazon.com/gp/customer-reviews/R2FYTNTAVQBY7U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
